,Buy and Hold,Strategy,Longs,Sells,Shorts,Covers,Stdev_Strategy,Stdev_Hold,Stock
2512,133.98,-8.29,17,17,16,16,102.73264129528016,1796.68400340847,AAPL_240-55
2513,133.98,-9.87,20,20,19,19,158.26363831821766,1796.68400340847,AAPL_215-40
2514,133.98,-3.49,26,26,27,27,135.86531201344374,1796.68400340847,AAPL_180-200
2515,133.98,-7.51,11,11,12,12,123.09106887898749,1796.68400340847,AAPL_145-295
2516,133.98,-11.09,20,20,21,21,147.74037614431202,1796.68400340847,AAPL_130-180
2517,133.98,-7.47,25,25,23,23,117.37818145626382,1796.68400340847,AAPL_190-20
2518,133.98,-5.9,22,22,23,23,104.43114712964535,1796.68400340847,AAPL_155-185
2519,133.98,-6.1,15,15,14,14,80.19572467452694,1796.68400340847,AAPL_230-140
2520,133.98,-6.82,17,17,18,18,127.4777397500553,1796.68400340847,AAPL_245-270
2521,133.98,-8.75,23,23,22,22,164.40621409465766,1796.68400340847,AAPL_140-85
2522,133.98,-7.43,19,19,18,18,118.13248756029624,1796.68400340847,AAPL_165-85
2523,133.98,-5.06,10,10,10,10,63.9613955776146,1796.68400340847,AAPL_170-300
2524,133.98,-5.74,17,17,16,16,90.22033472925855,1796.68400340847,AAPL_205-130
2525,133.98,-5.5,11,11,12,12,89.59204059417637,1796.68400340847,AAPL_145-300
2526,133.98,-8.29,17,17,16,16,128.251151421907,1796.68400340847,AAPL_240-60
2527,133.98,-4.1,23,23,23,23,87.48596139176591,1796.68400340847,AAPL_180-205
2528,133.98,-7.94,20,20,19,19,145.22391742900388,1796.68400340847,AAPL_215-45
2529,133.98,-5.89,16,16,17,17,109.72804643914084,1796.68400340847,AAPL_195-230
2530,133.98,-8.66,19,19,20,20,156.40490253716135,1796.68400340847,AAPL_220-245
2531,133.98,-12.79,21,21,20,20,197.1229003189553,1796.68400340847,AAPL_190-25
2532,133.98,-8.63,23,23,23,23,135.75916681628078,1796.68400340847,AAPL_155-190
2533,133.98,-10.71,19,19,20,20,170.24275821034746,1796.68400340847,AAPL_130-185
2534,133.98,-7.62,16,16,14,14,133.40672897851348,1796.68400340847,AAPL_230-145
2535,133.98,-5.31,16,16,17,17,92.76216480967338,1796.68400340847,AAPL_245-275
2536,133.98,-9.77,19,19,16,16,142.41927120120542,1796.68400340847,AAPL_205-135
2537,133.98,-4.68,20,20,19,19,67.97543707225174,1796.68400340847,AAPL_165-90
2538,133.98,0.0,0,0,0,0,0.0,1796.68400340847,AAPL_175-0
2539,133.98,-3.29,23,23,22,22,70.40116418067832,1796.68400340847,AAPL_140-90
2540,133.98,0.0,0,0,0,0,0.0,1796.68400340847,AAPL_150-0
2541,133.98,-8.85,17,17,16,16,163.35663682367442,1796.68400340847,AAPL_240-65
2542,133.98,-8.37,16,16,17,17,134.08369676546417,1796.68400340847,AAPL_195-235
2543,133.98,-5.99,17,17,18,18,100.35726748894751,1796.68400340847,AAPL_220-250
2544,133.98,-7.05,18,18,19,19,108.5350002357668,1796.68400340847,AAPL_180-210
2545,133.98,-7.94,17,17,16,16,121.74579099028914,1796.68400340847,AAPL_215-50
2546,133.98,-4.92,16,16,17,17,100.08683743708552,1796.68400340847,AAPL_130-190
2547,133.98,-4.54,20,20,19,19,84.41830249571433,1796.68400340847,AAPL_190-30
2548,133.98,-8.66,19,19,20,20,116.05451577256736,1796.68400340847,AAPL_155-195
2549,133.98,-2.94,20,20,19,19,67.18668996664248,1796.68400340847,AAPL_165-95
2550,133.98,-6.62,16,16,15,15,92.19342794695336,1796.68400340847,AAPL_230-150
2551,133.98,-9.59,27,27,26,26,147.91591673073015,1796.68400340847,AAPL_140-95
2552,133.98,-2.99,16,16,17,16,46.24814103209462,1796.68400340847,AAPL_245-280
2553,133.98,-18.4,54,54,49,49,286.832200329546,1796.68400340847,AAPL_150-5
2554,133.98,-12.85,38,38,36,36,229.75598102994843,1796.68400340847,AAPL_175-5
2555,133.98,-12.1,18,18,17,17,181.2390811351301,1796.68400340847,AAPL_205-140
2556,133.98,-2.49,17,17,18,18,42.54597922950207,1796.68400340847,AAPL_180-215
2557,133.98,-5.01,17,17,18,18,100.26592133442148,1796.68400340847,AAPL_220-255
2558,133.98,-5.81,16,16,17,17,101.97049919881518,1796.68400340847,AAPL_130-195
2559,133.98,-3.87,18,18,19,19,82.87763233671171,1796.68400340847,AAPL_195-240
2560,133.98,-7.87,18,18,17,17,164.8012638960911,1796.68400340847,AAPL_240-70
2561,133.98,-3.28,21,21,22,22,68.79588917661144,1796.68400340847,AAPL_155-200
2562,133.98,-4.69,17,17,16,16,75.06594733809924,1796.68400340847,AAPL_215-55
2563,133.98,-4.32,21,21,20,20,56.55554032133035,1796.68400340847,AAPL_165-100
2564,133.98,-7.83,20,20,19,19,144.92348135003803,1796.68400340847,AAPL_190-35
2565,133.98,-2.74,26,26,25,25,107.67127925794388,1796.68400340847,AAPL_140-100
2566,133.98,-4.26,16,16,15,15,80.63081538130376,1796.68400340847,AAPL_230-155
2567,133.98,-14.7,39,39,36,36,281.66740001792107,1796.68400340847,AAPL_150-10
