,SLOWFAST,Buy and Hold,Strategy,SLOW,FAST
137,51-67,73.175,0.6537499999999999,51,67
138,51-68,73.175,0.5399999999999999,51,68
139,51-69,73.175,0.27625,51,69
140,51-7,73.175,60.34125,51,7
141,51-70,73.175,0.18499999999999994,51,70
142,51-71,73.175,0.42125,51,71
143,51-72,73.175,-0.04249999999999965,51,72
144,51-73,73.175,-0.03499999999999981,51,73
145,51-74,73.175,0.41374999999999995,51,74
146,51-8,73.175,61.47,51,8
147,51-9,73.175,65.23625,51,9
148,52-1,73.175,55.60125,52,1
149,52-10,73.175,66.99,52,10
150,52-11,73.175,66.58875,52,11
151,52-12,73.175,65.78625,52,12
152,52-13,73.175,66.65875,52,13
153,52-14,73.175,67.8275,52,14
154,52-15,73.175,68.79,52,15
155,52-16,73.175,70.45,52,16
156,52-17,73.175,71.27875,52,17
157,52-18,73.175,71.59,52,18
158,52-19,73.175,72.98,52,19
159,52-2,73.175,55.25125,52,2
160,52-20,73.175,72.65125,52,20
161,52-21,73.175,75.48625,52,21
162,52-22,73.175,73.8075,52,22
163,52-23,73.175,71.34875,52,23
164,52-24,73.175,74.59375,52,24
165,52-25,73.175,73.9925,52,25
166,52-26,73.175,72.66250000000001,52,26
167,52-27,73.175,74.02375,52,27
168,52-28,73.175,72.5475,52,28
169,52-29,73.175,69.81125,52,29
170,52-3,73.175,57.43625,52,3
171,52-30,73.175,67.9225,52,30
172,52-31,73.175,69.6725,52,31
173,52-32,73.175,71.24375,52,32
174,52-33,73.175,73.33500000000001,52,33
175,52-34,73.175,73.57875,52,34
176,52-35,73.175,72.25,52,35
177,52-36,73.175,71.18625,52,36
178,52-37,73.175,71.43125,52,37
179,52-38,73.175,76.96875,52,38
180,52-39,73.175,81.28875000000001,52,39
181,52-4,73.175,59.085,52,4
182,52-40,73.175,81.53875000000001,52,40
183,52-41,73.175,81.59875,52,41
184,52-42,73.175,76.30375000000001,52,42
185,52-43,73.175,76.645,52,43
186,52-44,73.175,76.8725,52,44
187,52-45,73.175,74.4625,52,45
188,52-46,73.175,74.5125,52,46
189,52-47,73.175,73.7975,52,47
190,52-48,73.175,72.70875,52,48
191,52-49,73.175,71.9975,52,49
192,52-5,73.175,63.645,52,5
193,52-50,73.175,71.67999999999999,52,50
194,52-51,73.175,71.47375,52,51
195,52-52,73.175,0.0,52,52
196,52-53,73.175,-0.4237500000000002,52,53
