date,open,high,low,close,volume,TP,SMAFAST,SMASLOW,buysignal,sellsignal,position
2020-05-04 04:01:00,2260.0,2265.0,2260.0,2260.0,1626,2261.6666666666665,,,0.0,0.0,
2020-05-04 08:35:00,2259.1,2259.1,2259.1,2259.1,409,2259.1,,,0.0,0.0,0.0
2020-05-04 09:56:00,2295.03,2295.56,2283.66,2285.5,34462,2288.24,,,0.0,0.0,0.0
2020-05-04 10:56:00,2315.889,2315.889,2312.83,2314.4015,7275,2314.3735,,,0.0,0.0,0.0
2020-05-04 11:56:00,2317.94,2319.9199,2317.51,2317.51,5503,2318.3133000000003,,,0.0,0.0,0.0
2020-05-04 12:56:00,2297.21,2300.69,2296.6475,2300.01,10488,2299.1158333333333,,,0.0,0.0,0.0
2020-05-04 13:56:00,2306.3639,2307.8999,2306.0,2306.83,5064,2306.9099666666666,,,0.0,0.0,0.0
2020-05-04 14:56:00,2305.12,2305.12,2304.576,2305.085,2624,2304.927,,,0.0,0.0,0.0
2020-05-04 15:56:00,2312.6,2313.98,2311.13,2313.98,14514,2313.03,,,0.0,0.0,0.0
2020-05-05 06:36:00,2329.44,2329.44,2329.44,2329.44,301,2329.44,,,0.0,0.0,0.0
2020-05-05 09:47:00,2332.135,2336.02,2332.135,2336.02,14432,2334.7250000000004,,,0.0,0.0,0.0
2020-05-05 10:47:00,2338.6,2339.0399,2337.475,2339.0399,3457,2338.5182666666665,,,0.0,0.0,0.0
2020-05-05 11:47:00,2334.12,2334.5899,2333.25,2333.76,3077,2333.8666333333335,,,0.0,0.0,0.0
2020-05-05 12:47:00,2333.03,2333.03,2332.53,2332.8,2147,2332.786666666667,,,0.0,0.0,0.0
2020-05-05 13:47:00,2324.775,2324.775,2324.775,2324.775,1151,2324.775,,,0.0,0.0,0.0
2020-05-05 14:47:00,2333.01,2333.4,2332.71,2333.0,4138,2333.036666666667,,,0.0,0.0,0.0
2020-05-05 15:47:00,2313.65,2314.0,2312.57,2313.7927,8026,2313.4542333333334,,,0.0,0.0,0.0
2020-05-06 09:01:00,2326.5,2326.5,2326.5,2326.5,302,2326.5,,,0.0,0.0,0.0
2020-05-06 10:25:00,2335.85,2338.0,2335.28,2336.5,11970,2336.5933333333337,,,0.0,0.0,0.0
2020-05-06 11:25:00,2333.39,2334.33,2333.33,2333.665,4105,2333.775,,,0.0,0.0,0.0
2020-05-06 12:25:00,2334.0,2334.0,2333.44,2333.833,3350,2333.757666666667,,,0.0,0.0,0.0
2020-05-06 13:25:00,2343.2956,2345.4899,2343.02,2345.0,8738,2344.5033000000003,,,0.0,0.0,0.0
2020-05-06 14:25:00,2348.68,2349.1037,2348.68,2349.1037,2022,2348.9624666666664,,,0.0,0.0,0.0
2020-05-06 15:25:00,2353.96,2353.96,2352.18,2353.19,8728,2353.11,,,0.0,0.0,0.0
2020-05-06 19:02:00,2344.51,2344.51,2344.51,2344.51,582,2344.51,,,0.0,0.0,0.0
2020-05-07 09:12:00,2370.62,2370.62,2370.0,2370.0,2415,2370.2066666666665,,,0.0,0.0,0.0
2020-05-07 10:20:00,2355.35,2356.65,2355.09,2356.65,7640,2356.1299999999997,,,0.0,0.0,0.0
2020-05-07 11:20:00,2358.785,2359.57,2358.785,2358.85,7865,2359.068333333333,,,0.0,0.0,0.0
2020-05-07 12:20:00,2361.5,2361.5,2360.095,2360.25,5766,2360.615,,,0.0,0.0,0.0
2020-05-07 13:20:00,2360.53,2360.53,2360.49,2360.49,2727,2360.5033333333336,,,0.0,0.0,0.0
2020-05-07 14:21:00,2356.44,2357.0,2355.88,2356.81,3969,2356.5633333333335,,,0.0,0.0,0.0
2020-05-07 15:21:00,2356.44,2357.55,2356.44,2357.3542,5249,2357.1147333333333,,,0.0,0.0,0.0
2020-05-07 17:20:00,2365.5,2365.5,2365.5,2365.5,120,2365.5,,,0.0,0.0,0.0
2020-05-08 09:23:00,2370.0,2370.0,2370.0,2370.0,732,2370.0,,,0.0,0.0,0.0
2020-05-08 10:26:00,2373.29,2374.5212,2373.29,2374.035,5996,2373.948733333333,,,0.0,0.0,0.0
2020-05-08 11:26:00,2377.5,2377.5,2374.375,2374.91,6766,2375.595,,,0.0,0.0,0.0
2020-05-08 12:26:00,2376.495,2376.495,2375.78,2375.8125,2989,2376.0291666666667,,,0.0,0.0,0.0
2020-05-08 13:27:00,2376.035,2377.275,2375.88,2376.35,3363,2376.5016666666666,,,0.0,0.0,0.0
2020-05-08 14:27:00,2373.52,2374.74,2373.0,2373.58,15617,2373.773333333333,,,0.0,0.0,0.0
2020-05-08 15:27:00,2376.0092,2376.42,2375.01,2375.01,3260,2375.48,,,0.0,0.0,0.0
2020-05-08 17:04:00,2379.3,2379.3,2379.3,2379.3,709,2379.3,,,0.0,0.0,0.0
2020-05-11 09:32:00,2373.81,2380.5,2373.5,2380.5,19899,2378.1666666666665,,,0.0,0.0,0.0
2020-05-11 10:32:00,2407.54,2408.95,2406.843,2408.3957,6639,2408.0629,,,0.0,0.0,0.0
2020-05-11 11:32:00,2408.6,2409.0,2408.6,2409.0,2247,2408.866666666667,,,0.0,0.0,0.0
